relationship_id,case_id,source_entity_id,source_entity_type,relationship_type,target_entity_id,target_entity_type,start_time,end_time,confidence,source_document_id,verified,verification_status
REL0000001,C000001,C000001,Case,INVOLVES,P003684,Person,2019-08-13 16:39:00,,0.95,DOC000001,true,Verified
REL0000002,C000002,C000002,Case,INVOLVES,P001569,Person,2018-08-25 12:32:00,,0.934,DOC000002,false,Review Required
REL0000003,C000003,C000003,Case,INVOLVES,P005911,Person,2024-06-30 23:52:00,,0.952,DOC000003,true,Verified
REL0000004,C000004,C000004,Case,INVOLVES,P003926,Person,2019-01-21 08:54:00,,0.965,DOC000004,true,Verified
REL0000005,C000005,C000005,Case,INVOLVES,P004559,Person,2021-01-03 21:46:00,,0.989,DOC000005,true,Verified
REL0000006,C000006,C000006,Case,INVOLVES,P003298,Person,2022-08-27 11:44:00,,0.954,DOC000006,true,Verified
REL0000007,C000007,C000007,Case,INVOLVES,P004210,Person,2018-01-11 21:21:00,,0.946,DOC000007,false,Review Required
REL0000008,C000008,C000008,Case,INVOLVES,P000781,Person,2023-02-12 18:12:00,,0.949,DOC000008,false,Review Required
REL0000009,C000009,C000009,Case,INVOLVES,P004174,Person,2021-09-02 18:19:00,,0.985,DOC000009,true,Verified
REL0000010,C000010,C000010,Case,INVOLVES,P002712,Person,2022-04-21 17:32:00,,0.934,DOC000010,false,Review Required
REL0000011,C000011,C000011,Case,INVOLVES,P005877,Person,2020-12-15 17:12:00,,0.924,DOC000011,false,Review Required
REL0000012,C000012,C000012,Case,INVOLVES,P003409,Person,2019-04-22 06:30:00,,0.915,DOC000012,false,Review Required
REL0000013,C000013,C000013,Case,INVOLVES,P004492,Person,2021-10-23 13:46:00,,0.934,DOC000013,false,Review Required
REL0000014,C000014,C000014,Case,INVOLVES,P006702,Person,2024-02-25 22:40:00,,0.94,DOC000014,false,Review Required
REL0000015,C000015,C000015,Case,INVOLVES,P004894,Person,2018-12-28 05:10:00,,0.988,DOC000015,true,Verified
REL0000016,C000016,C000016,Case,INVOLVES,P001149,Person,2021-11-01 19:44:00,,0.957,DOC000016,true,Verified
REL0000017,C000017,C000017,Case,INVOLVES,P004528,Person,2020-08-27 04:11:00,,0.95,DOC000017,true,Verified
REL0000018,C000018,C000018,Case,INVOLVES,P001306,Person,2019-07-28 12:33:00,,0.987,DOC000018,true,Verified
REL0000019,C000019,C000019,Case,INVOLVES,P004867,Person,2023-10-13 18:25:00,,0.935,DOC000019,false,Review Required
REL0000020,C000020,C000020,Case,INVOLVES,P002602,Person,2024-04-20 07:46:00,,0.976,DOC000020,true,Verified
REL0000021,C000021,C000021,Case,INVOLVES,P006538,Person,2024-02-06 21:53:00,,0.927,DOC000021,false,Review Required
REL0000022,C000022,C000022,Case,INVOLVES,P004362,Person,2021-08-24 09:13:00,,0.969,DOC000022,true,Verified
REL0000023,C000023,C000023,Case,INVOLVES,P001067,Person,2019-03-31 09:17:00,,0.959,DOC000023,true,Verified
REL0000024,C000024,C000024,Case,INVOLVES,P003310,Person,2021-08-08 16:13:00,,0.945,DOC000024,false,Review Required
REL0000025,C000025,C000025,Case,INVOLVES,P005591,Person,2018-03-10 13:29:00,,0.953,DOC000025,true,Verified
REL0000026,C000026,C000026,Case,INVOLVES,P005127,Person,2023-08-22 06:00:00,,0.929,DOC000026,false,Review Required
REL0000027,C000027,C000027,Case,INVOLVES,P006628,Person,2022-11-07 23:22:00,,0.984,DOC000027,true,Verified
REL0000028,C000028,C000028,Case,INVOLVES,P005765,Person,2024-02-03 20:34:00,,0.935,DOC000028,false,Review Required
REL0000029,C000029,C000029,Case,INVOLVES,P002552,Person,2019-05-27 15:26:00,,0.912,DOC000029,false,Review Required
REL0000030,C000030,C000030,Case,INVOLVES,P000909,Person,2019-03-26 18:46:00,,0.944,DOC000030,false,Review Required
REL0000031,C000031,C000031,Case,INVOLVES,P005835,Person,2021-07-13 14:16:00,,0.913,DOC000031,false,Review Required
REL0000032,C000032,C000032,Case,INVOLVES,P004157,Person,2018-05-25 08:38:00,,0.942,DOC000032,false,Review Required
REL0000033,C000033,C000033,Case,INVOLVES,P003951,Person,2021-01-12 21:03:00,,0.954,DOC000033,true,Verified
REL0000034,C000034,C000034,Case,INVOLVES,P002777,Person,2019-05-07 10:36:00,,0.938,DOC000034,false,Review Required
REL0000035,C000035,C000035,Case,INVOLVES,P000275,Person,2019-11-15 23:23:00,,0.97,DOC000035,true,Verified
REL0000036,C000036,C000036,Case,INVOLVES,P001595,Person,2023-05-25 08:29:00,,0.963,DOC000036,true,Verified
REL0000037,C000037,C000037,Case,INVOLVES,P004463,Person,2024-05-08 21:21:00,,0.986,DOC000037,true,Verified
REL0000038,C000038,C000038,Case,INVOLVES,P006830,Person,2018-02-23 21:14:00,,0.953,DOC000038,true,Verified
REL0000039,C000039,C000039,Case,INVOLVES,P000774,Person,2018-12-10 23:13:00,,0.98,DOC000039,true,Verified
REL0000040,C000040,C000040,Case,INVOLVES,P001241,Person,2024-05-29 05:44:00,,0.912,DOC000040,false,Review Required
REL0000041,C000041,C000041,Case,INVOLVES,P002972,Person,2023-11-23 19:31:00,,0.929,DOC000041,false,Review Required
REL0000042,C000042,C000042,Case,INVOLVES,P001989,Person,2021-12-16 13:36:00,,0.972,DOC000042,true,Verified
REL0000043,C000043,C000043,Case,INVOLVES,P004770,Person,2018-07-12 19:32:00,,0.986,DOC000043,true,Verified
REL0000044,C000044,C000044,Case,INVOLVES,P001151,Person,2023-02-05 05:29:00,,0.9,DOC000044,false,Review Required
REL0000045,C000045,C000045,Case,INVOLVES,P004486,Person,2021-03-02 21:46:00,,0.927,DOC000045,false,Review Required
REL0000046,C000046,C000046,Case,INVOLVES,P002297,Person,2023-12-14 12:48:00,,0.98,DOC000046,true,Verified
REL0000047,C000047,C000047,Case,INVOLVES,P001136,Person,2018-02-27 08:02:00,,0.974,DOC000047,true,Verified
REL0000048,C000048,C000048,Case,INVOLVES,P001038,Person,2019-09-01 22:11:00,,0.98,DOC000048,true,Verified
REL0000049,C000049,C000049,Case,INVOLVES,P004050,Person,2018-02-21 23:37:00,,0.979,DOC000049,true,Verified
REL0000050,C000050,C000050,Case,INVOLVES,P004780,Person,2021-02-16 17:29:00,,0.937,DOC000050,false,Review Required
REL0000051,C000051,C000051,Case,INVOLVES,P004538,Person,2021-02-18 12:45:00,,0.935,DOC000051,false,Review Required
REL0000052,C000052,C000052,Case,INVOLVES,P000440,Person,2023-01-22 09:27:00,,0.927,DOC000052,false,Review Required
REL0000053,C000053,C000053,Case,INVOLVES,P003768,Person,2024-05-06 12:47:00,,0.95,DOC000053,true,Verified
REL0000054,C000054,C000054,Case,INVOLVES,P006793,Person,2022-02-21 19:14:00,,0.903,DOC000054,false,Review Required
REL0000055,C000055,C000055,Case,INVOLVES,P000316,Person,2020-08-18 09:28:00,,0.98,DOC000055,true,Verified
REL0000056,C000056,C000056,Case,INVOLVES,P003884,Person,2018-03-19 21:19:00,,0.979,DOC000056,true,Verified
REL0000057,C000057,C000057,Case,INVOLVES,P002421,Person,2022-11-16 19:48:00,,0.935,DOC000057,false,Review Required
REL0000058,C000058,C000058,Case,INVOLVES,P000858,Person,2023-09-21 05:00:00,,0.99,DOC000058,true,Verified
REL0000059,C000059,C000059,Case,INVOLVES,P001307,Person,2020-06-20 18:57:00,,0.91,DOC000059,false,Review Required
REL0000060,C000060,C000060,Case,INVOLVES,P004394,Person,2023-11-20 18:36:00,,0.976,DOC000060,true,Verified
REL0000061,C000061,C000061,Case,INVOLVES,P004226,Person,2021-02-18 00:37:00,,0.921,DOC000061,false,Review Required
REL0000062,C000062,C000062,Case,INVOLVES,P002663,Person,2021-04-06 16:51:00,,0.941,DOC000062,false,Review Required
REL0000063,C000063,C000063,Case,INVOLVES,P006212,Person,2023-12-04 14:03:00,,0.93,DOC000063,false,Review Required
REL0000064,C000064,C000064,Case,INVOLVES,P001179,Person,2021-08-23 08:51:00,,0.969,DOC000064,true,Verified
REL0000065,C000065,C000065,Case,INVOLVES,P001399,Person,2021-11-11 10:06:00,,0.987,DOC000065,true,Verified
REL0000066,C000066,C000066,Case,INVOLVES,P003967,Person,2019-03-25 13:02:00,,0.916,DOC000066,false,Review Required
REL0000067,C000067,C000067,Case,INVOLVES,P001251,Person,2022-10-08 11:37:00,,0.939,DOC000067,false,Review Required
REL0000068,C000068,C000068,Case,INVOLVES,P000578,Person,2024-06-12 20:38:00,,0.909,DOC000068,false,Review Required
REL0000069,C000069,C000069,Case,INVOLVES,P002069,Person,2019-11-03 11:57:00,,0.938,DOC000069,false,Review Required
REL0000070,C000070,C000070,Case,INVOLVES,P002659,Person,2023-10-29 19:43:00,,0.979,DOC000070,true,Verified
REL0000071,C000071,C000071,Case,INVOLVES,P001052,Person,2019-01-03 02:15:00,,0.946,DOC000071,false,Review Required
REL0000072,C000072,C000072,Case,INVOLVES,P004944,Person,2019-11-01 07:19:00,,0.939,DOC000072,false,Review Required
REL0000073,C000073,C000073,Case,INVOLVES,P004435,Person,2020-12-08 13:08:00,,0.91,DOC000073,false,Review Required
