case_id,fir_number,case_type,crime_category,crime_subcategory,ipc_section,registration_date,incident_date,incident_time,police_station_id,district,city,state,latitude,longitude,case_status,severity,investigating_officer_id,source,description
C000001,PUNE/FIR/2018/00001,FIR,Robbery,Robbery with preparation for hurt,IPC 393,2019-08-20,2019-08-13,16:39:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.552763,73.868311,Closed,Critical,IO0281,SYNTH_LEGACY_DB,Synthetic robbery with preparation for hurt case recorded for the Yerawada area. Severity classification: Critical.
C000002,PUNE/FIR/2021/00002,FIR,Fraud,Cheating,IPC 420,2018-09-07,2018-08-25,12:32:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.499889,73.917683,Solved,High,IO0140,SYNTH_FIR_DB,Synthetic cheating case recorded for the Hadapsar area. Severity classification: High.
C000003,PUNE/FIR/2021/00003,FIR,Theft,Theft of property,IPC 379,2024-06-30,2024-06-30,23:52:00,PS_SHIVAJINAGAR,Pune,Pune,Maharashtra,18.520274,73.838977,Registered,Medium,IO0300,SYNTH_FIELD_REPORT,Synthetic theft of property case recorded for the Shivajinagar area. Severity classification: Medium.
C000004,PUNE/FIR/2023/00004,Complaint,Threat,Criminal intimidation,IPC 506,2019-02-03,2019-01-21,08:54:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.636685,73.809274,Closed,Medium,IO0042,SYNTH_COURT_LINK,Synthetic criminal intimidation case recorded for the Pimpri area. Severity classification: Medium.
C000005,PUNE/FIR/2018/00005,FIR,Forgery,Using forged document,IPC 471,2021-01-08,2021-01-03,21:46:00,PS_KONDHWA,Pune,Pune,Maharashtra,18.473125,73.879688,Pending,Critical,IO0186,SYNTH_FIELD_REPORT,Synthetic using forged document case recorded for the Kondhwa area. Severity classification: Critical.
C000006,PUNE/FIR/2018/00006,FIR,Fraud,Cheating,IPC 420,2022-09-05,2022-08-27,11:44:00,PS_VIMAN_NAGAR,Pune,Pune,Maharashtra,18.564495,73.917779,Pending,Critical,IO0275,SYNTH_FIR_DB,Synthetic cheating case recorded for the Viman Nagar area. Severity classification: Critical.
C000007,PUNE/FIR/2022/00007,Preliminary Inquiry,Theft,Theft of property,IPC 379,2018-01-12,2018-01-11,21:21:00,PS_DHANKAWADI,Pune,Pune,Maharashtra,18.478439,73.839984,Unsolved,High,IO0061,SYNTH_FIELD_REPORT,Synthetic theft of property case recorded for the Dhankawadi area. Severity classification: High.
C000008,PUNE/FIR/2021/00008,Complaint,Robbery,Robbery,IPC 392,2023-02-25,2023-02-12,18:12:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.558805,73.868092,Pending,High,IO0295,SYNTH_FIR_DB,Synthetic robbery case recorded for the Yerawada area. Severity classification: High.
C000009,PUNE/FIR/2022/00009,Special Report,Assault,Voluntarily causing hurt,IPC 323,2021-09-08,2021-09-02,18:19:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.540459,73.870268,Pending,High,IO0114,SYNTH_CASE_DB,Synthetic voluntarily causing hurt case recorded for the Yerawada area. Severity classification: High.
C000010,PUNE/FIR/2024/00010,FIR,Robbery,Robbery,IPC 392,2022-05-04,2022-04-21,17:32:00,PS_BHOSARI,Pune,Pune,Maharashtra,18.623197,73.846,Registered,High,IO0258,SYNTH_LEGACY_DB,Synthetic robbery case recorded for the Bhosari area. Severity classification: High.
C000011,PUNE/FIR/2018/00011,FIR,Assault,Voluntarily causing hurt,IPC 323,2020-12-18,2020-12-15,17:12:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.515241,73.917711,Pending,Medium,IO0193,SYNTH_FIR_DB,Synthetic voluntarily causing hurt case recorded for the Hadapsar area. Severity classification: Medium.
C000012,PUNE/FIR/2018/00012,FIR,Theft,Theft in dwelling house,IPC 380,2019-04-27,2019-04-22,06:30:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.502717,73.864582,Under Investigation,High,IO0140,SYNTH_COURT_LINK,Synthetic theft in dwelling house case recorded for the Swargate area. Severity classification: High.
C000013,PUNE/FIR/2024/00013,FIR,Theft,Theft of property,IPC 379,2021-10-25,2021-10-23,13:46:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.53624,73.87098,Under Investigation,Critical,IO0247,SYNTH_INTEL_DB,Synthetic theft of property case recorded for the Yerawada area. Severity classification: Critical.
C000014,PUNE/FIR/2020/00014,FIR,Narcotics,Possession-related offence,IPC 272/273,2024-03-03,2024-02-25,22:40:00,PS_KATRAJ,Pune,Pune,Maharashtra,18.455541,73.870571,Pending,High,IO0079,SYNTH_FIELD_REPORT,Synthetic possession-related offence case recorded for the Katraj area. Severity classification: High.
C000015,PUNE/FIR/2018/00015,Complaint,Assault,Grievous hurt,IPC 325,2019-01-11,2018-12-28,05:10:00,PS_VIMAN_NAGAR,Pune,Pune,Maharashtra,18.571562,73.906812,Solved,High,IO0249,SYNTH_INTEL_DB,Synthetic grievous hurt case recorded for the Viman Nagar area. Severity classification: High.
C000016,PUNE/FIR/2021/00016,FIR,Robbery,Robbery with preparation for hurt,IPC 393,2021-11-08,2021-11-01,19:44:00,PS_AUNDH,Pune,Pune,Maharashtra,18.553402,73.798344,Chargesheeted,Critical,IO0230,SYNTH_CASE_DB,Synthetic robbery with preparation for hurt case recorded for the Aundh area. Severity classification: Critical.
C000017,PUNE/FIR/2024/00017,FIR,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2020-09-08,2020-08-27,04:11:00,PS_BANER,Pune,Pune,Maharashtra,18.555987,73.798676,Closed,High,IO0156,SYNTH_LEGACY_DB,Synthetic cheating by personation / cyber fraud case recorded for the Baner area. Severity classification: High.
C000018,PUNE/FIR/2024/00018,Preliminary Inquiry,Theft,Theft of property,IPC 379,2019-07-30,2019-07-28,12:33:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.633208,73.799881,Under Investigation,Medium,IO0096,SYNTH_INTEL_DB,Synthetic theft of property case recorded for the Chinchwad area. Severity classification: Medium.
C000019,PUNE/FIR/2024/00019,FIR,Forgery,Using forged document,IPC 471,2023-10-18,2023-10-13,18:25:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.516898,73.9214,Under Investigation,Critical,IO0027,SYNTH_FIR_DB,Synthetic using forged document case recorded for the Hadapsar area. Severity classification: Critical.
C000020,PUNE/FIR/2021/00020,FIR,Assault,Grievous hurt,IPC 325,2024-04-27,2024-04-20,07:46:00,PS_WAKAD,Pune,Pune,Maharashtra,18.609887,73.751215,Pending,High,IO0106,SYNTH_FIR_DB,Synthetic grievous hurt case recorded for the Wakad area. Severity classification: High.
C000021,PUNE/FIR/2018/00021,FIR,Threat,Criminal intimidation,IPC 506,2024-02-12,2024-02-06,21:53:00,PS_BANER,Pune,Pune,Maharashtra,18.569811,73.783409,Under Investigation,Medium,IO0165,SYNTH_CASE_DB,Synthetic criminal intimidation case recorded for the Baner area. Severity classification: Medium.
C000022,PUNE/FIR/2023/00022,FIR,Burglary,House-breaking / house-trespass,IPC 454,2021-09-06,2021-08-24,09:13:00,PS_HADAPSAR,Pune,Pune,Maharashtra,18.508056,73.914275,Under Investigation,High,IO0126,SYNTH_CASE_DB,Synthetic house-breaking / house-trespass case recorded for the Hadapsar area. Severity classification: High.
C000023,PUNE/FIR/2021/00023,FIR,Theft,Theft of property,IPC 379,2019-04-01,2019-03-31,09:17:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.491533,73.872567,Solved,Medium,IO0204,SYNTH_FIELD_REPORT,Synthetic theft of property case recorded for the Swargate area. Severity classification: Medium.
C000024,PUNE/FIR/2024/00024,FIR,Theft,Theft in dwelling house,IPC 380,2021-08-15,2021-08-08,16:13:00,PS_VIMAN_NAGAR,Pune,Pune,Maharashtra,18.565749,73.917369,Pending,Critical,IO0227,SYNTH_FIR_DB,Synthetic theft in dwelling house case recorded for the Viman Nagar area. Severity classification: Critical.
C000025,PUNE/FIR/2024/00025,FIR,Narcotics,Possession-related offence,IPC 272/273,2018-03-18,2018-03-10,13:29:00,PS_VIMAN_NAGAR,Pune,Pune,Maharashtra,18.55961,73.903081,Pending,High,IO0054,SYNTH_CASE_DB,Synthetic possession-related offence case recorded for the Viman Nagar area. Severity classification: High.
C000026,PUNE/FIR/2023/00026,FIR,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2023-09-04,2023-08-22,06:00:00,PS_WAKAD,Pune,Pune,Maharashtra,18.592548,73.769318,Under Investigation,High,IO0268,SYNTH_FIR_DB,Synthetic cheating by personation / cyber fraud case recorded for the Wakad area. Severity classification: High.
C000027,PUNE/FIR/2023/00027,Complaint,Theft,Theft of property,IPC 379,2022-11-07,2022-11-07,23:22:00,PS_CHINCHWAD,Pune,Pune,Maharashtra,18.622658,73.803465,Unsolved,Medium,IO0297,SYNTH_CASE_DB,Synthetic theft of property case recorded for the Chinchwad area. Severity classification: Medium.
C000028,PUNE/FIR/2020/00028,FIR,Threat,Criminal intimidation,IPC 506,2024-02-03,2024-02-03,20:34:00,PS_AUNDH,Pune,Pune,Maharashtra,18.564553,73.795689,Under Investigation,Medium,IO0153,SYNTH_CASE_DB,Synthetic criminal intimidation case recorded for the Aundh area. Severity classification: Medium.
C000029,PUNE/FIR/2021/00029,Complaint,Robbery,Robbery with preparation for hurt,IPC 393,2019-06-06,2019-05-27,15:26:00,PS_AUNDH,Pune,Pune,Maharashtra,18.565783,73.813109,Registered,Critical,IO0170,SYNTH_FIR_DB,Synthetic robbery with preparation for hurt case recorded for the Aundh area. Severity classification: Critical.
C000030,PUNE/FIR/2021/00030,FIR,Robbery,Robbery,IPC 392,2019-04-02,2019-03-26,18:46:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.559057,73.887501,Chargesheeted,High,IO0137,SYNTH_CASE_DB,Synthetic robbery case recorded for the Yerawada area. Severity classification: High.
C000031,PUNE/FIR/2023/00031,FIR,Fraud,Cheating,IPC 420,2021-07-18,2021-07-13,14:16:00,PS_SWARGATE,Pune,Pune,Maharashtra,18.508923,73.86644,Chargesheeted,High,IO0339,SYNTH_COURT_LINK,Synthetic cheating case recorded for the Swargate area. Severity classification: High.
C000032,PUNE/FIR/2021/00032,FIR,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2018-05-25,2018-05-25,08:38:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.618151,73.794681,Solved,Critical,IO0263,SYNTH_FIR_DB,Synthetic cheating by personation / cyber fraud case recorded for the Pimpri area. Severity classification: Critical.
C000033,PUNE/FIR/2021/00033,Other,Assault,Voluntarily causing hurt,IPC 323,2021-01-26,2021-01-12,21:03:00,PS_PIMPRI,Pune,Pune,Maharashtra,18.631148,73.794978,Registered,High,IO0158,SYNTH_FIELD_REPORT,Synthetic voluntarily causing hurt case recorded for the Pimpri area. Severity classification: High.
C000034,PUNE/FIR/2019/00034,FIR,Forgery,Using forged document,IPC 471,2019-05-14,2019-05-07,10:36:00,PS_BHOSARI,Pune,Pune,Maharashtra,18.625871,73.838547,Pending,High,IO0226,SYNTH_INTEL_DB,Synthetic using forged document case recorded for the Bhosari area. Severity classification: High.
C000035,PUNE/FIR/2024/00035,FIR,Theft,Theft of property,IPC 379,2019-11-16,2019-11-15,23:23:00,PS_AUNDH,Pune,Pune,Maharashtra,18.560062,73.811796,Solved,Medium,IO0316,SYNTH_FIR_DB,Synthetic theft of property case recorded for the Aundh area. Severity classification: Medium.
C000036,PUNE/FIR/2020/00036,FIR,Cyber Crime,Cheating by personation / cyber fraud,IPC 419/420,2023-06-03,2023-05-25,08:29:00,PS_KOTHRUD,Pune,Pune,Maharashtra,18.498034,73.798763,Chargesheeted,High,IO0305,SYNTH_FIELD_REPORT,Synthetic cheating by personation / cyber fraud case recorded for the Kothrud area. Severity classification: High.
C000037,PUNE/FIR/2022/00037,Preliminary Inquiry,Narcotics,Possession-related offence,IPC 272/273,2024-05-22,2024-05-08,21:21:00,PS_YERAWADA,Pune,Pune,Maharashtra,18.556102,73.882739,Chargesheeted,High,IO0048,SYNTH_FIELD_REPORT,Synthetic possession-related offence case recorded for the Yerawada area. Severity classification: High.
