cdr_id,caller_phone_id,receiver_phone_id,timestamp,duration_seconds,call_type,call_status,cell_tower_id,location_id,direction,source_system
CDR0000001,PH009195,PH006037,15-06-2022 22:17,0,Voice,Rejected,T006,LOC_AUNDH,Outgoing,SYNTH_CDR_A
CDR0000002,PH009105,PH009346,13-05-2024 21:52,0,Voice,Failed,T012,LOC_VIMAN_NAGAR,Outgoing,SYNTH_CDR_A
CDR0000003,PH006901,PH006529,05-06-2026 14:31,0,SMS,Answered,T011,LOC_KONDHWA,Outgoing,SYNTH_CDR_A
CDR0000004,PH007897,PH000716,31-12-2019 02:52,110,Voice,Answered,T009,LOC_PIMPRI,Outgoing,SYNTH_CDR_B
CDR0000005,PH008709,PH009727,16-02-2020 07:01,0,SMS,Answered,T009,LOC_PIMPRI,Outgoing,SYNTH_TELECOM_CDR
CDR0000006,PH006372,PH005201,15-06-2025 20:37,0,Voice,Missed,T005,LOC_YERAWADA,Outgoing,SYNTH_CDR_A
CDR0000007,PH005281,PH001983,04-05-2023 13:50,697,Data,Answered,T011,LOC_KONDHWA,Outgoing,SYNTH_TELECOM_CDR
CDR0000008,PH007667,PH008803,29-09-2024 09:40,0,SMS,Answered,T004,LOC_SWARGATE,Outgoing,SYNTH_CDR_A
CDR0000009,PH007175,PH000175,02-09-2020 22:04,0,SMS,Answered,T016,LOC_BHOSARI,Outgoing,SYNTH_CDR_B
CDR0000010,PH004362,PH008306,26-02-2020 12:02,0,SMS,Answered,T005,LOC_YERAWADA,Outgoing,SYNTH_CDR_B
CDR0000011,PH008731,PH008966,04-07-2026 08:23,0,Voice,Missed,T005,LOC_YERAWADA,Outgoing,SYNTH_TELECOM_CDR
CDR0000012,PH002759,PH006977,16-06-2021 05:57,0,SMS,Answered,T002,LOC_HADAPSAR,Outgoing,SYNTH_CDR_B
CDR0000013,PH003561,PH002859,04-04-2023 10:41,0,SMS,Answered,T002,LOC_HADAPSAR,Outgoing,SYNTH_LEGACY_CDR
CDR0000014,PH003626,PH005639,21-07-2025 21:49,0,Voice,Rejected,T006,LOC_AUNDH,Outgoing,SYNTH_CDR_A
CDR0000015,PH002447,PH000835,18-04-2022 17:30,1218,Data,Failed,T005,LOC_YERAWADA,Outgoing,SYNTH_CDR_A
CDR0000016,PH007645,PH002899,31-05-2023 14:33,0,Voice,Missed,T009,LOC_PIMPRI,Outgoing,SYNTH_LEGACY_CDR
CDR0000017,PH009301,PH003754,06-02-2021 14:33,79,Data,Answered,T003,LOC_SHIVAJINAGAR,Outgoing,SYNTH_TELECOM_CDR
CDR0000018,PH002598,PH008131,20-07-2020 19:18,0,Voice,Failed,T011,LOC_KONDHWA,Outgoing,SYNTH_CDR_B
CDR0000019,PH006123,PH008902,27-02-2022 23:44,0,Voice,Rejected,T009,LOC_PIMPRI,Outgoing,SYNTH_CDR_B
CDR0000020,PH008590,PH009979,21-08-2026 07:06,0,Voice,Missed,T010,LOC_CHINCHWAD,Outgoing,SYNTH_CDR_A
CDR0000021,PH002632,PH003428,22-04-2024 19:22,0,Voice,Failed,T006,LOC_AUNDH,Outgoing,SYNTH_LEGACY_CDR
CDR0000022,PH005715,PH001368,03-07-2021 00:28,323,Voice,Answered,T001,LOC_KOTHRUD,Outgoing,SYNTH_CDR_A
CDR0000023,PH003014,PH004447,02-06-2021 09:27,0,Voice,Failed,T003,LOC_SHIVAJINAGAR,Outgoing,SYNTH_CDR_B
CDR0000024,PH003144,PH007261,12-03-2025 10:01,0,Voice,Failed,T006,LOC_AUNDH,Outgoing,SYNTH_CDR_A
CDR0000025,PH001236,PH005778,10-05-2019 22:57,0,Voice,Failed,T012,LOC_VIMAN_NAGAR,Outgoing,SYNTH_LEGACY_CDR
CDR0000026,PH000609,PH001878,23-02-2021 14:59,0,Voice,Missed,T009,LOC_PIMPRI,Outgoing,SYNTH_TELECOM_CDR
CDR0000027,PH005195,PH000564,30-11-2022 14:45,0,Voice,Failed,T012,LOC_VIMAN_NAGAR,Outgoing,SYNTH_CDR_B
CDR0000028,PH007419,PH008465,23-10-2023 03:18,80,Voice,Answered,T005,LOC_YERAWADA,Outgoing,SYNTH_CDR_A
CDR0000029,PH001057,PH005805,12-12-2025 11:45,0,Voice,Missed,T015,LOC_VISHRANTWADI,Outgoing,SYNTH_CDR_B
