cell_tower_id,tower_name,coverage_area,location_id,location_name,latitude,longitude,city,district,state,pincode,location_mapping_method,mapping_note
T001,Cell Tower 001,Kothrud,LOC000016,Synthetic Restaurant - Kothrud 0016,18.500778,73.803391,Pune,Pune,Maharashtra,411038,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T002,Cell Tower 002,Hadapsar,LOC000019,Synthetic Residence - Hadapsar 0019,18.514039,73.918176,Pune,Pune,Maharashtra,411028,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T003,Cell Tower 003,Shivajinagar,LOC000026,Synthetic Residence - Shivajinagar 0026,18.524366,73.846169,Pune,Pune,Maharashtra,411005,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T004,Cell Tower 004,Swargate,LOC000018,Synthetic Residence - Swargate 0018,18.506921,73.864644,Pune,Pune,Maharashtra,411037,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T005,Cell Tower 005,Yerawada,LOC000003,Synthetic Crime Scene - Yerawada 0003,18.541016,73.877982,Pune,Pune,Maharashtra,411006,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T006,Cell Tower 006,Aundh,LOC000023,Synthetic Police Station - Aundh,18.5516,73.807552,Pune,Pune,Maharashtra,411007,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T007,Cell Tower 007,Baner,LOC000006,Synthetic Police Station - Baner,18.551426,73.780361,Pune,Pune,Maharashtra,411045,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T008,Cell Tower 008,Wakad,LOC000010,Synthetic Hotel - Wakad 0010,18.59457,73.75754,Pune,Pune,Maharashtra,411057,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T009,Cell Tower 009,Pimpri,LOC000005,Synthetic Bank - Pimpri 0005,18.631901,73.797338,Pune,Pune,Maharashtra,411018,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T010,Cell Tower 010,Chinchwad,LOC000031,Synthetic Police Station - Chinchwad,18.634365,73.800707,Pune,Pune,Maharashtra,411033,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T011,Cell Tower 011,Kondhwa,LOC000001,Synthetic Residence - Kondhwa 0001,18.473691,73.890085,Pune,Pune,Maharashtra,411048,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T012,Cell Tower 012,Viman Nagar,LOC000013,Synthetic Transport Hub - Viman Nagar 0013,18.568062,73.919748,Pune,Pune,Maharashtra,411014,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T013,Cell Tower 013,Katraj,LOC000009,Synthetic Crime Scene - Katraj 0009,18.457159,73.860284,Pune,Pune,Maharashtra,411046,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T014,Cell Tower 014,Dhankawadi,LOC000002,Synthetic Residence - Dhankawadi 0002,18.469389,73.844489,Pune,Pune,Maharashtra,411043,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T015,Cell Tower 015,Vishrantwadi,LOC000012,Synthetic Crime Scene - Vishrantwadi 0012,18.559443,73.870046,Pune,Pune,Maharashtra,411015,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
T016,Cell Tower 016,Bhosari,LOC000007,Synthetic ATM - Bhosari 0007,18.62415,73.844279,Pune,Pune,Maharashtra,411039,AREA_REPRESENTATIVE,CDR contains area-coded location IDs rather than location-master IDs; representative location selected deterministically from locations.csv by area.
