evidence_id,case_id,evidence_type,file_name,file_path,source,collected_by,collection_timestamp,original_hash_sha256,current_hash_sha256,integrity_status,chain_of_custody_id,access_level,created_at
EVD0000001,C003540,CCTV,evd0000001_cctv.mp4,/synthetic-evidence/C003540/evd0000001_cctv.mp4,SYNTH_RTO_SYSTEM,IO0245,2025-01-19 06:11:01,ac93f879d263dc5eaa07e00d9a852a11e435f8f45be425d7330a158c39b850aa,ac93f879d263dc5eaa07e00d9a852a11e435f8f45be425d7330a158c39b850aa,Intact,COC0000001,Highly Restricted,2025-01-19 22:40:01
EVD0000002,C007449,Document,evd0000002_document.pdf,/synthetic-evidence/C007449/evd0000002_document.pdf,SYNTH_BANK_SYSTEM,IO0154,2026-04-20 07:01:55,577d81705919a0baa52c1d986f6b30f4bd29e186927bf812e0457e80e88f951f,577d81705919a0baa52c1d986f6b30f4bd29e186927bf812e0457e80e88f951f,Intact,COC0000002,Confidential,2026-04-20 08:17:55
EVD0000003,C004277,Audio,evd0000003_audio.wav,/synthetic-evidence/C004277/evd0000003_audio.wav,SYNTH_CDR_SYSTEM,IO0188,2019-06-24 05:28:21,99f943e8fd27a5ad5713a2e664e44c4bf63f02c9627574772aa4757d5a1ca96a,99f943e8fd27a5ad5713a2e664e44c4bf63f02c9627574772aa4757d5a1ca96a,Intact,COC0000003,Internal,2019-06-24 11:15:21
EVD0000004,C003248,CDR,evd0000004_cdr.csv,/synthetic-evidence/C003248/evd0000004_cdr.csv,SYNTH_LOCATION_SYSTEM,IO0203,2020-03-05 08:49:32,bc20b224d2345d39cc364e005575fdc43719dafc1920eb9621d608923a98e2a6,bc20b224d2345d39cc364e005575fdc43719dafc1920eb9621d608923a98e2a6,Intact,COC0000004,Highly Restricted,2020-03-05 20:49:32
EVD0000005,C008382,LocationRecord,evd0000005_locationrecord.json,/synthetic-evidence/C008382/evd0000005_locationrecord.json,SYNTH_POLICE_RECORDS,IO0223,2019-06-21 03:28:07,2c4bdf6bac8ff502cdd6f5025102ab5b0b3b6587dd38041166c67ff5928a2102,2c4bdf6bac8ff502cdd6f5025102ab5b0b3b6587dd38041166c67ff5928a2102,Intact,COC0000005,Internal,2019-06-21 14:49:07
EVD0000006,C006343,CCTV,evd0000006_cctv.mp4,/synthetic-evidence/C006343/evd0000006_cctv.mp4,SYNTH_DOCUMENT_SYSTEM,IO0247,2021-02-06 19:22:49,a1e396a22b22575bf103f4b339e60c1cff61596620403099876c3c2d8031dd68,a1e396a22b22575bf103f4b339e60c1cff61596620403099876c3c2d8031dd68,Intact,COC0000006,Restricted,2021-02-07 17:48:49
EVD0000007,C007331,LocationRecord,evd0000007_locationrecord.json,/synthetic-evidence/C007331/evd0000007_locationrecord.json,SYNTH_RTO_SYSTEM,IO0308,2023-01-31 07:25:49,2ebe43e90157ad1f2b2afc972fdc3f25c1e68c92b18e81d870460e32460dde2b,2ebe43e90157ad1f2b2afc972fdc3f25c1e68c92b18e81d870460e32460dde2b,Intact,COC0000007,Confidential,2023-01-31 15:19:49
EVD0000008,C002360,FIR,evd0000008_fir.pdf,/synthetic-evidence/C002360/evd0000008_fir.pdf,SYNTH_POLICE_RECORDS,IO0080,2025-05-27 06:59:38,d3b42ee3d583288e4f77914f561c6a718f5e8f3f5915692cdd628c74810749fb,d3b42ee3d583288e4f77914f561c6a718f5e8f3f5915692cdd628c74810749fb,Intact,COC0000008,Internal,2025-05-28 05:56:38
EVD0000009,C006495,VehicleRecord,evd0000009_vehiclerecord.pdf,/synthetic-evidence/C006495/evd0000009_vehiclerecord.pdf,SYNTH_CCTV_SYSTEM,IO0269,2021-03-09 08:58:07,6edfff478413395fe5df27bb242e76d5cb4e70e3ce9c0a5026b3732a493e5d07,6edfff478413395fe5df27bb242e76d5cb4e70e3ce9c0a5026b3732a493e5d07,Intact,COC0000009,Confidential,2021-03-09 17:00:07
EVD0000010,C003048,CDR,evd0000010_cdr.csv,/synthetic-evidence/C003048/evd0000010_cdr.csv,SYNTH_LOCATION_SYSTEM,IO0135,2023-07-21 17:28:02,cd6eef6175811ddcc6b33612d0b527a0b0a298168471cc96f07623488bc850fc,cd6eef6175811ddcc6b33612d0b527a0b0a298168471cc96f07623488bc850fc,Intact,COC0000010,Confidential,2023-07-22 04:43:02
