evidence_link_id,evidence_id,case_id,target_type,target_id,relationship,confidence,source,timestamp,evidence_type,chain_of_custody_id,integrity_status,original_hash_sha256,current_hash_sha256
EL00000001,EVD0000001,C003540,CASE,C003540,ASSOCIATED_WITH_CASE,1.0,SYNTH_RTO_SYSTEM,2025-01-19 06:11:01,CCTV,COC0000001,Intact,ac93f879d263dc5eaa07e00d9a852a11e435f8f45be425d7330a158c39b850aa,ac93f879d263dc5eaa07e00d9a852a11e435f8f45be425d7330a158c39b850aa
EL00000002,EVD0000002,C007449,CASE,C007449,ASSOCIATED_WITH_CASE,1.0,SYNTH_BANK_SYSTEM,2026-04-20 07:01:55,Document,COC0000002,Intact,577d81705919a0baa52c1d986f6b30f4bd29e186927bf812e0457e80e88f951f,577d81705919a0baa52c1d986f6b30f4bd29e186927bf812e0457e80e88f951f
EL00000003,EVD0000003,C004277,CASE,C004277,ASSOCIATED_WITH_CASE,1.0,SYNTH_CDR_SYSTEM,2019-06-24 05:28:21,Audio,COC0000003,Intact,99f943e8fd27a5ad5713a2e664e44c4bf63f02c9627574772aa4757d5a1ca96a,99f943e8fd27a5ad5713a2e664e44c4bf63f02c9627574772aa4757d5a1ca96a
EL00000004,EVD0000004,C003248,CASE,C003248,ASSOCIATED_WITH_CASE,1.0,SYNTH_LOCATION_SYSTEM,2020-03-05 08:49:32,CDR,COC0000004,Intact,bc20b224d2345d39cc364e005575fdc43719dafc1920eb9621d608923a98e2a6,bc20b224d2345d39cc364e005575fdc43719dafc1920eb9621d608923a98e2a6
EL00000005,EVD0000005,C008382,CASE,C008382,ASSOCIATED_WITH_CASE,1.0,SYNTH_POLICE_RECORDS,2019-06-21 03:28:07,LocationRecord,COC0000005,Intact,2c4bdf6bac8ff502cdd6f5025102ab5b0b3b6587dd38041166c67ff5928a2102,2c4bdf6bac8ff502cdd6f5025102ab5b0b3b6587dd38041166c67ff5928a2102
EL00000006,EVD0000006,C006343,CASE,C006343,ASSOCIATED_WITH_CASE,1.0,SYNTH_DOCUMENT_SYSTEM,2021-02-06 19:22:49,CCTV,COC0000006,Intact,a1e396a22b22575bf103f4b339e60c1cff61596620403099876c3c2d8031dd68,a1e396a22b22575bf103f4b339e60c1cff61596620403099876c3c2d8031dd68
EL00000007,EVD0000007,C007331,CASE,C007331,ASSOCIATED_WITH_CASE,1.0,SYNTH_RTO_SYSTEM,2023-01-31 07:25:49,LocationRecord,COC0000007,Intact,2ebe43e90157ad1f2b2afc972fdc3f25c1e68c92b18e81d870460e32460dde2b,2ebe43e90157ad1f2b2afc972fdc3f25c1e68c92b18e81d870460e32460dde2b
EL00000008,EVD0000008,C002360,CASE,C002360,ASSOCIATED_WITH_CASE,1.0,SYNTH_POLICE_RECORDS,2025-05-27 06:59:38,FIR,COC0000008,Intact,d3b42ee3d583288e4f77914f561c6a718f5e8f3f5915692cdd628c74810749fb,d3b42ee3d583288e4f77914f561c6a718f5e8f3f5915692cdd628c74810749fb
EL00000009,EVD0000009,C006495,CASE,C006495,ASSOCIATED_WITH_CASE,1.0,SYNTH_CCTV_SYSTEM,2021-03-09 08:58:07,VehicleRecord,COC0000009,Intact,6edfff478413395fe5df27bb242e76d5cb4e70e3ce9c0a5026b3732a493e5d07,6edfff478413395fe5df27bb242e76d5cb4e70e3ce9c0a5026b3732a493e5d07
EL00000010,EVD0000010,C003048,CASE,C003048,ASSOCIATED_WITH_CASE,1.0,SYNTH_LOCATION_SYSTEM,2023-07-21 17:28:02,CDR,COC0000010,Intact,cd6eef6175811ddcc6b33612d0b527a0b0a298168471cc96f07623488bc850fc,cd6eef6175811ddcc6b33612d0b527a0b0a298168471cc96f07623488bc850fc
