event_id,entity_id,entity_type,location_id,timestamp,event_type,duration_minutes,latitude,longitude,source,confidence
EV0000001,P003709,Person,LOC003386,2019-12-10 07:49:48,Visited,197,18.531339,73.850483,SYNTH_VEHICLE,0.946
EV0000002,P004018,Person,LOC000368,2025-06-14 02:37:11,Visited,44,18.446965,73.858363,SYNTH_TRANSACTION,0.966
EV0000003,P000179,Person,LOC004132,2020-11-11 22:26:23,Detected,0,18.561648,73.870324,SYNTH_FIELD,0.952
EV0000004,P004010,Person,LOC002038,2025-03-07 01:31:53,Stayed,29,18.56322,73.808116,SYNTH_TRANSACTION,0.966
EV0000005,P006269,Person,LOC002936,2021-04-13 19:22:04,Stayed,162,18.564606,73.885231,SYNTH_VEHICLE,0.905
EV0000006,P000913,Person,LOC004459,2024-03-22 22:42:38,Stayed,171,18.62355,73.803777,SYNTH_CCTV,0.951
EV0000007,P006991,Person,LOC004365,2021-09-16 08:53:09,Detected,0,18.569056,73.87435,SYNTH_TRANSACTION,0.984
EV0000008,P006678,Person,LOC004773,2022-09-20 05:21:38,Stayed,182,18.562146,73.920078,SYNTH_TRANSACTION,0.969
EV0000009,P005841,Person,LOC004490,2019-03-11 03:29:06,Stayed,238,18.458912,73.869428,SYNTH_TOWER,0.901
EV0000010,P000781,Person,LOC002501,2019-07-15 11:48:24,Transaction,0,18.455076,73.869288,SYNTH_FIELD,0.963
EV0000011,P003851,Person,LOC002686,2026-03-04 07:23:52,Visited,126,18.475685,73.891672,SYNTH_TOWER,0.969
EV0000012,P002055,Person,LOC003946,2020-05-07 03:27:20,Stayed,117,18.565538,73.812914,SYNTH_FIELD,0.987
EV0000013,P004265,Person,LOC003336,2023-03-15 22:41:58,Visited,171,18.513773,73.9228,SYNTH_CCTV,0.985
EV0000014,P001621,Person,LOC001898,2021-01-27 09:26:41,Detected,0,18.597216,73.759203,SYNTH_FIELD,0.947
EV0000015,P006786,Person,LOC001469,2022-03-01 17:42:36,TowerPing,0,18.529555,73.8415,SYNTH_CCTV,0.955
EV0000016,P004849,Person,LOC001122,2024-01-19 16:03:12,CCTV,0,18.460502,73.869089,SYNTH_VEHICLE,0.989
EV0000017,P004649,Person,LOC002950,2025-01-08 14:46:59,Visited,189,18.45399,73.858643,SYNTH_TOWER,0.941
EV0000018,P000310,Person,LOC004635,2022-12-09 16:37:15,Visited,38,18.498164,73.860787,SYNTH_TRANSACTION,0.955
EV0000019,P002465,Person,LOC000910,2021-12-03 19:43:09,Stayed,149,18.623831,73.848314,SYNTH_FIELD,0.988
EV0000020,P000936,Person,LOC004485,2023-06-26 04:24:28,Transaction,0,18.53667,73.841176,SYNTH_TOWER,0.901
EV0000021,P003126,Person,LOC000638,2023-02-23 00:45:26,Visited,71,18.496417,73.855844,SYNTH_VEHICLE,0.903
