location_id,location_name,location_type,address,area,city,district,state,pincode,latitude,longitude,sensitivity_level
LOC000001,Synthetic Residence - Kondhwa 0001,Residence,"738, Canal Road, Kondhwa, Pune",Kondhwa,Pune,Pune,Maharashtra,411048,18.473691,73.890085,Medium
LOC000002,Synthetic Residence - Dhankawadi 0002,Residence,"999, Station Road, Dhankawadi, Pune",Dhankawadi,Pune,Pune,Maharashtra,411043,18.469389,73.844489,Low
LOC000003,Synthetic Crime Scene - Yerawada 0003,Crime Scene,"38, Station Road, Yerawada, Pune",Yerawada,Pune,Pune,Maharashtra,411006,18.541016,73.877982,Low
LOC000004,Synthetic Residence - Yerawada 0004,Residence,"571, Link Road, Yerawada, Pune",Yerawada,Pune,Pune,Maharashtra,411006,18.551179,73.871518,Low
LOC000005,Synthetic Bank - Pimpri 0005,Bank,"968, Industrial Road, Pimpri, Pune",Pimpri,Pune,Pune,Maharashtra,411018,18.631901,73.797338,Low
LOC000006,Synthetic Police Station - Baner,Police Station,"844, Industrial Road, Baner, Pune",Baner,Pune,Pune,Maharashtra,411045,18.551426,73.780361,Medium
LOC000007,Synthetic ATM - Bhosari 0007,ATM,"807, Station Road, Bhosari, Pune",Bhosari,Pune,Pune,Maharashtra,411039,18.62415,73.844279,Low
LOC000008,Synthetic Restaurant - Kondhwa 0008,Restaurant,"123, Main Road, Kondhwa, Pune",Kondhwa,Pune,Pune,Maharashtra,411048,18.467757,73.896183,Low
LOC000009,Synthetic Crime Scene - Katraj 0009,Crime Scene,"629, Link Road, Katraj, Pune",Katraj,Pune,Pune,Maharashtra,411046,18.457159,73.860284,Medium
LOC000010,Synthetic Hotel - Wakad 0010,Hotel,"960, Industrial Road, Wakad, Pune",Wakad,Pune,Pune,Maharashtra,411057,18.59457,73.75754,High
LOC000011,Synthetic Meeting Point - Dhankawadi 0011,Meeting Point,"572, Nagar Road, Dhankawadi, Pune",Dhankawadi,Pune,Pune,Maharashtra,411043,18.471274,73.852463,Low
LOC000012,Synthetic Crime Scene - Vishrantwadi 0012,Crime Scene,"52, Station Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.559443,73.870046,Medium
LOC000013,Synthetic Transport Hub - Viman Nagar 0013,Transport Hub,"673, Industrial Road, Viman Nagar, Pune",Viman Nagar,Pune,Pune,Maharashtra,411014,18.568062,73.919748,Low
LOC000014,Synthetic Transport Hub - Vishrantwadi 0014,Transport Hub,"98, Temple Road, Vishrantwadi, Pune",Vishrantwadi,Pune,Pune,Maharashtra,411015,18.562468,73.882444,Medium
LOC000015,Synthetic Warehouse - Baner 0015,Warehouse,"371, Main Road, Baner, Pune",Baner,Pune,Pune,Maharashtra,411045,18.566756,73.785609,Low
LOC000016,Synthetic Restaurant - Kothrud 0016,Restaurant,"933, Nagar Road, Kothrud, Pune",Kothrud,Pune,Pune,Maharashtra,411038,18.500778,73.803391,High
