transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,transaction_type,channel,merchant_id,location_id,reference_number,status,description,source
TXN0000001,2020-12-19 22:23:53,ACC003990,ACC008229,166603.50,INR,IMPS,ATM,,LOC002096,REF8132405140,Completed,Synthetic IMPS transaction,SYNTH_CARD_SYSTEM
TXN0000002,2019-12-20 20:28:15,ACC004550,ACC006618,3320.29,INR,CashDeposit,Mobile,,LOC002116,REF6057888949,Completed,Synthetic CashDeposit transaction,SYNTH_LEGACY_FINANCE
TXN0000003,2026-04-13 13:35:29,ACC004911,ACC006017,1952870.68,INR,RTGS,Mobile,,LOC001584,REF4595842143,Completed,Synthetic RTGS transaction,SYNTH_CARD_SYSTEM
TXN0000004,2026-01-10 13:02:16,ACC000210,ACC000993,221087.22,INR,BankTransfer,Mobile,,LOC004851,REF9659505198,Completed,Synthetic BankTransfer transaction,SYNTH_CARD_SYSTEM
TXN0000005,2023-02-15 07:28:34,ACC006799,ACC003292,271338.94,INR,BankTransfer,Internet Banking,,LOC004504,REF7826505933,Completed,Synthetic BankTransfer transaction,SYNTH_CARD_SYSTEM
TXN0000006,2019-02-02 02:25:37,ACC008115,ACC001927,196469.28,INR,IMPS,Mobile,,LOC004421,REF9576652490,Completed,Synthetic IMPS transaction,SYNTH_LEGACY_FINANCE
TXN0000007,2023-07-10 03:50:05,ACC008836,ACC001633,166186.18,INR,IMPS,Branch,,LOC000225,REF7786435448,Completed,Synthetic IMPS transaction,SYNTH_LEGACY_FINANCE
TXN0000008,2023-02-13 10:14:09,ACC004560,ACC003685,64715.59,INR,BankTransfer,Mobile,,LOC004427,REF6680744556,Completed,Synthetic BankTransfer transaction,SYNTH_NEFT_RTGS
TXN0000009,2021-12-30 19:17:50,ACC008775,ACC009758,2239237.01,INR,RTGS,Branch,,LOC002413,REF4370918471,Completed,Synthetic RTGS transaction,SYNTH_BANK_CORE
TXN0000010,2024-09-10 03:29:38,ACC004885,ACC007608,33049.88,INR,Card,API,MER00317,LOC003452,REF8165993335,Completed,Synthetic Card transaction,SYNTH_CARD_SYSTEM
TXN0000011,2021-05-17 15:30:49,ACC007830,ACC006250,10566.71,INR,UPI,ATM,MER02621,LOC003282,REF6952393196,Completed,Synthetic UPI transaction,SYNTH_NEFT_RTGS
