vehicle_id,registration_number,vehicle_type,make,model,color,registration_date,registered_owner_id,current_owner_id,status,insurance_status,source
V000001,MH12AA0137,Car,Mahindra,XUV300,Red,2011-05-28,P005491,P005491,Active,Active,SYNTH_FIELD_DB
V000002,MH12AA0274,Motorcycle,Honda,Shine,Green,2019-05-22,P000422,P000422,Active,Active,SYNTH_RTO_DB
V000003,MH12AA0311,Car,Tata,Nexon,Blue,2022-09-24,P001670,P003203,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000004,MH12AA0448,Motorcycle,Honda,Shine,Blue,2022-08-01,P006842,P006842,Active,Active,SYNTH_VEHICLE_REGISTRY
V000005,MH12AA0585,Car,Maruti Suzuki,Baleno,Blue,2026-05-10,P000249,P002032,Transferred,Active,SYNTH_INSURANCE_DB
V000006,MH12AA0622,Scooter,Honda,Activa,Grey,2024-07-21,P002463,P002463,Inactive,Active,SYNTH_RTO_DB
V000007,MH12AA0759,Commercial,Tata,Ace,Grey,2023-07-25,P005066,P005066,Active,Expired,SYNTH_INSURANCE_DB
V000008,MH12AA0896,Car,Mahindra,XUV300,Brown,2021-12-12,P002023,P004689,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000009,MH12AA0933,Scooter,Honda,Activa,Silver,2024-01-27,P005865,P005865,Active,Active,SYNTH_VEHICLE_REGISTRY
V000010,MH12AA1070,Motorcycle,Bajaj,Pulsar,Green,2011-09-04,P002335,P002335,Active,Expired,SYNTH_FIELD_DB
V000011,MH12AA1107,Car,Mahindra,XUV300,Green,2010-09-29,P005403,P005403,Active,Expired,SYNTH_INSURANCE_DB
V000012,MH12AA1244,Motorcycle,Hero,Splendor Plus,Silver,2022-12-10,P001661,P004068,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000013,MH12AA1381,Scooter,TVS,Jupiter,Brown,2012-03-17,P005358,P005358,Active,Active,SYNTH_FIELD_DB
V000014,MH12AA1418,Motorcycle,Hero,Splendor Plus,Red,2024-08-21,P004825,P004825,Active,Active,SYNTH_VEHICLE_REGISTRY
V000015,MH12AA1555,Auto,Bajaj,RE,White,2014-07-06,P003404,P003404,Active,Active,SYNTH_VEHICLE_REGISTRY
V000016,MH12AA1692,Scooter,TVS,Jupiter,Grey,2022-03-10,P000575,P000575,Active,Active,SYNTH_FIELD_DB
V000017,MH12AA1729,Scooter,Honda,Activa,Red,2010-07-01,P005914,P005914,Inactive,Active,SYNTH_VEHICLE_REGISTRY
V000018,MH12AA1866,Car,Hyundai,i20,Blue,2023-11-19,P000742,P005781,Transferred,Active,SYNTH_RTO_DB
V000019,MH12AA1903,Commercial,Tata,Ace,Green,2019-05-15,P005818,P005818,Active,Active,SYNTH_RTO_DB
V000020,MH12AA2040,Scooter,Honda,Activa,Black,2020-05-06,P005948,P005948,Active,Expired,SYNTH_INSURANCE_DB
V000021,MH12AA2177,Auto,Bajaj,RE,Blue,2021-04-08,P005778,P005778,Active,Active,SYNTH_RTO_DB
V000022,MH12AA2214,Scooter,Honda,Activa,White,2025-01-18,P001840,P001840,Scrapped,Not Available,SYNTH_VEHICLE_REGISTRY
V000023,MH12AA2351,Car,Hyundai,Creta,Black,2010-12-01,P003463,P003463,Active,Expired,SYNTH_FIELD_DB
V000024,MH12AA2488,Car,Mahindra,XUV300,Grey,2022-12-22,P001216,P001216,Active,Active,SYNTH_RTO_DB
V000025,MH12AA2525,Scooter,Honda,Activa,Blue,2021-06-29,P000885,P000885,Active,Expired,SYNTH_RTO_DB
V000026,MH12AA2662,Commercial,Tata,Ace,Brown,2018-02-01,P004282,P004282,Inactive,Active,SYNTH_INSURANCE_DB
V000027,MH12AA2799,Car,Hyundai,i20,Green,2014-09-22,P003534,P006839,Transferred,Expired,SYNTH_FIELD_DB
V000028,MH12AA2836,Car,Tata,Nexon,White,2025-02-16,P004330,P003944,Transferred,Active,SYNTH_FIELD_DB
V000029,MH12AA2973,Commercial,Mahindra,Bolero Pickup,Silver,2023-10-10,P004780,P004780,Active,Active,SYNTH_FIELD_DB
V000030,MH12AA3010,Commercial,Tata,Ace,White,2015-04-06,P000844,P000844,Active,Expired,SYNTH_FIELD_DB
V000031,MH12AA3147,Commercial,Mahindra,Bolero Pickup,White,2023-11-03,P002420,P003369,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000032,MH12AA3284,Motorcycle,Bajaj,Pulsar,Silver,2020-11-16,P002655,P000052,Transferred,Expired,SYNTH_FIELD_DB
V000033,MH12AA3321,Motorcycle,Hero,Splendor Plus,White,2024-01-03,P005924,P005924,Active,Active,SYNTH_FIELD_DB
V000034,MH12AA3458,Car,Mahindra,XUV300,Brown,2026-05-22,P000680,P000680,Active,Active,SYNTH_RTO_DB
V000035,MH12AA3595,Scooter,Suzuki,Access,Black,2024-12-01,P000852,P000852,Active,Active,SYNTH_INSURANCE_DB
V000036,MH12AA3632,Commercial,Tata,Ace,Green,2014-05-30,P000858,P000858,Active,Active,SYNTH_RTO_DB
V000037,MH12AA3769,Car,Hyundai,i20,Black,2020-11-20,P006474,P006474,Active,Active,SYNTH_VEHICLE_REGISTRY
V000038,MH12AA3806,Car,Hyundai,i20,White,2025-12-31,P005600,P005600,Active,Active,SYNTH_VEHICLE_REGISTRY
V000039,MH12AA3943,Auto,Bajaj,RE,Brown,2025-08-08,P004233,P004233,Active,Active,SYNTH_INSURANCE_DB
V000040,MH12AA4080,Scooter,Honda,Activa,Grey,2017-07-30,P000009,P002828,Transferred,Expired,SYNTH_VEHICLE_REGISTRY
V000041,MH12AA4117,Motorcycle,Bajaj,Pulsar,Black,2013-03-06,P001206,P005424,Transferred,Active,SYNTH_FIELD_DB
V000042,MH12AA4254,Car,Mahindra,XUV300,Blue,2012-09-24,P000890,P000890,Active,Expired,SYNTH_INSURANCE_DB
V000043,MH12AA4391,Scooter,Honda,Activa,Blue,2010-10-21,P003104,P003104,Active,Expired,SYNTH_RTO_DB
V000044,MH12AA4428,Car,Tata,Nexon,Blue,2026-01-17,P005454,P005454,Active,Expired,SYNTH_FIELD_DB
V000045,MH12AA4565,Commercial,Mahindra,Bolero Pickup,Blue,2019-10-13,P002477,P002477,Active,Active,SYNTH_FIELD_DB
V000046,MH12AA4602,Scooter,Honda,Activa,Brown,2019-11-07,P000469,P002115,Transferred,Active,SYNTH_RTO_DB
V000047,MH12AA4739,Car,Tata,Nexon,Green,2014-03-16,P002499,P002499,Inactive,Active,SYNTH_RTO_DB
V000048,MH12AA4876,Car,Maruti Suzuki,Baleno,Silver,2014-06-15,P001368,P001368,Active,Active,SYNTH_INSURANCE_DB
V000049,MH12AA4913,Motorcycle,Bajaj,Pulsar,White,2011-01-20,P006320,P006320,Active,Active,SYNTH_VEHICLE_REGISTRY
V000050,MH12AA5050,Car,Maruti Suzuki,Swift,White,2018-04-14,P006409,P005667,Transferred,Expired,SYNTH_INSURANCE_DB
V000051,MH12AA5187,Car,Hyundai,Creta,Green,2019-06-18,P003265,P003265,Active,Not Available,SYNTH_RTO_DB
V000052,MH12AA5224,Auto,Bajaj,RE,Brown,2015-02-25,P002324,P002324,Inactive,Active,SYNTH_FIELD_DB
V000053,MH12AA5361,Car,Mahindra,XUV300,Blue,2021-09-01,P000169,P000169,Scrapped,Active,SYNTH_RTO_DB
V000054,MH12AA5498,Motorcycle,Bajaj,Pulsar,Grey,2020-08-12,P005092,P006979,Transferred,Active,SYNTH_FIELD_DB
V000055,MH12AA5535,Auto,Bajaj,RE,White,2014-06-06,P001087,P006556,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000056,MH12AA5672,Car,Mahindra,XUV300,Brown,2020-07-25,P001271,P001271,Inactive,Active,SYNTH_INSURANCE_DB
V000057,MH12AA5709,Motorcycle,Hero,Splendor Plus,Grey,2012-06-14,P003401,P003401,Active,Expired,SYNTH_RTO_DB
V000058,MH12AA5846,Motorcycle,Honda,Shine,Grey,2022-06-10,P002804,P005350,Transferred,Active,SYNTH_INSURANCE_DB
V000059,MH12AA5983,Car,Toyota,Innova,Red,2021-06-11,P003553,P001465,Transferred,Active,SYNTH_INSURANCE_DB
V000060,MH12AA6020,Motorcycle,Honda,Shine,Blue,2023-09-08,P001248,P001248,Active,Active,SYNTH_INSURANCE_DB
V000061,MH12AA6157,Commercial,Tata,Ace,Red,2018-05-18,P003340,P003340,Active,Active,SYNTH_VEHICLE_REGISTRY
V000062,MH12AA6294,Scooter,TVS,Jupiter,Brown,2022-08-02,P002151,P002796,Transferred,Active,SYNTH_FIELD_DB
V000063,MH12AA6331,Scooter,TVS,Jupiter,Green,2013-06-15,P004986,P004986,Inactive,Active,SYNTH_VEHICLE_REGISTRY
V000064,MH12AA6468,Motorcycle,Bajaj,Pulsar,Silver,2010-11-21,P001329,P000238,Transferred,Active,SYNTH_RTO_DB
V000065,MH12AA6505,Scooter,TVS,Jupiter,Red,2012-10-01,P006254,P006254,Active,Active,SYNTH_FIELD_DB
V000066,MH12AA6642,Auto,Bajaj,RE,Silver,2023-09-27,P006471,P006471,Active,Expired,SYNTH_RTO_DB
V000067,MH12AA6779,Scooter,TVS,Jupiter,Green,2016-05-24,P000698,P000698,Active,Expired,SYNTH_INSURANCE_DB
V000068,MH12AA6816,Commercial,Tata,Ace,Green,2020-02-02,P002683,P006606,Transferred,Active,SYNTH_FIELD_DB
V000069,MH12AA6953,Car,Tata,Nexon,Brown,2018-05-30,P005420,P005420,Inactive,Expired,SYNTH_FIELD_DB
V000070,MH12AA7090,Motorcycle,Honda,Shine,Black,2023-12-28,P003967,P003967,Active,Expired,SYNTH_RTO_DB
V000071,MH12AA7127,Motorcycle,Honda,Shine,Silver,2018-04-01,P003505,P003505,Active,Active,SYNTH_INSURANCE_DB
V000072,MH12AA7264,Scooter,Suzuki,Access,Blue,2023-12-04,P001060,P001060,Active,Active,SYNTH_INSURANCE_DB
V000073,MH12AA7301,Car,Tata,Nexon,Grey,2019-03-03,P005571,P000298,Transferred,Expired,SYNTH_VEHICLE_REGISTRY
V000074,MH12AA7438,Commercial,Mahindra,Bolero Pickup,Blue,2025-08-07,P002269,P002269,Active,Active,SYNTH_VEHICLE_REGISTRY
V000075,MH12AA7575,Scooter,Suzuki,Access,Blue,2022-08-31,P002652,P002652,Active,Active,SYNTH_VEHICLE_REGISTRY
V000076,MH12AA7612,Car,Maruti Suzuki,Baleno,Silver,2010-12-01,P006155,P006155,Inactive,Active,SYNTH_VEHICLE_REGISTRY
V000077,MH12AA7749,Car,Maruti Suzuki,Swift,Black,2019-01-12,P000781,P000781,Active,Active,SYNTH_VEHICLE_REGISTRY
V000078,MH12AA7886,Car,Maruti Suzuki,Swift,Blue,2016-02-21,P003253,P003253,Active,Active,SYNTH_INSURANCE_DB
V000079,MH12AA7923,Car,Maruti Suzuki,Baleno,Blue,2016-07-11,P002246,P002246,Active,Active,SYNTH_VEHICLE_REGISTRY
V000080,MH12AA8060,Car,Hyundai,Creta,Silver,2020-01-03,P002928,P002928,Active,Expired,SYNTH_INSURANCE_DB
V000081,MH12AA8197,Car,Tata,Nexon,Red,2016-02-23,P001166,P001166,Active,Active,SYNTH_VEHICLE_REGISTRY
V000082,MH12AA8234,Car,Maruti Suzuki,Swift,White,2025-04-26,P003459,P003459,Active,Active,SYNTH_VEHICLE_REGISTRY
V000083,MH12AA8371,Scooter,Honda,Activa,Grey,2019-05-29,P002774,P002774,Inactive,Active,SYNTH_VEHICLE_REGISTRY
V000084,MH12AA8408,Motorcycle,Bajaj,Pulsar,Black,2022-06-18,P001197,P001197,Active,Active,SYNTH_INSURANCE_DB
V000085,MH12AA8545,Commercial,Mahindra,Bolero Pickup,Blue,2014-10-02,P006507,P006507,Active,Expired,SYNTH_FIELD_DB
V000086,MH12AA8682,Car,Maruti Suzuki,Baleno,Brown,2011-05-02,P004393,P004393,Active,Active,SYNTH_RTO_DB
V000087,MH12AA8719,Motorcycle,Bajaj,Pulsar,Green,2015-09-29,P003540,P003540,Active,Active,SYNTH_FIELD_DB
V000088,MH12AA8856,Car,Maruti Suzuki,Baleno,Silver,2023-09-06,P003222,P003222,Active,Active,SYNTH_RTO_DB
V000089,MH12AA8993,Motorcycle,Hero,Splendor Plus,Red,2025-08-02,P002301,P002301,Inactive,Active,SYNTH_INSURANCE_DB
V000090,MH12AA9030,Car,Maruti Suzuki,Swift,Blue,2017-09-13,P006915,P006915,Active,Active,SYNTH_INSURANCE_DB
V000091,MH12AA9167,Car,Mahindra,XUV300,White,2014-02-22,P001296,P001296,Active,Active,SYNTH_FIELD_DB
V000092,MH12AA9204,Commercial,Mahindra,Bolero Pickup,Red,2016-08-07,P003330,P003330,Active,Active,SYNTH_VEHICLE_REGISTRY
V000093,MH12AA9341,Commercial,Tata,Ace,Red,2011-09-11,P003136,P003136,Active,Active,SYNTH_VEHICLE_REGISTRY
V000094,MH12AA9478,Car,Mahindra,XUV300,Green,2015-03-02,P000540,P006151,Transferred,Active,SYNTH_RTO_DB
V000095,MH12AA9515,Car,Hyundai,Creta,Grey,2016-02-22,P000105,P000105,Active,Active,SYNTH_RTO_DB
V000096,MH12AA9652,Motorcycle,Bajaj,Pulsar,Silver,2026-03-04,P004292,P004292,Active,Active,SYNTH_FIELD_DB
V000097,MH12AA9789,Commercial,Mahindra,Bolero Pickup,Green,2021-12-08,P006697,P000819,Transferred,Active,SYNTH_VEHICLE_REGISTRY
V000098,MH12AA9826,Scooter,Suzuki,Access,Green,2015-05-07,P000872,P000872,Active,Active,SYNTH_INSURANCE_DB
V000099,MH12AA9963,Commercial,Mahindra,Bolero Pickup,Red,2015-09-24,P000519,P000519,Scrapped,Expired,SYNTH_VEHICLE_REGISTRY
V000100,MH12AB0000,Motorcycle,Honda,Shine,Green,2013-02-03,P000269,P000269,Inactive,Active,SYNTH_RTO_DB
V000101,MH12AB0137,Car,Tata,Nexon,Grey,2026-05-03,P001846,P001846,Active,Not Available,SYNTH_RTO_DB
V000102,MH12AB0274,Car,Hyundai,i20,Silver,2021-08-18,P001038,P001038,Stolen,Active,SYNTH_VEHICLE_REGISTRY
V000103,MH12AB0311,Motorcycle,Honda,Shine,Black,2021-06-02,P006315,P006315,Inactive,Active,SYNTH_INSURANCE_DB
V000104,MH12AB0448,Scooter,Suzuki,Access,Green,2011-12-10,P006427,P006427,Active,Active,SYNTH_VEHICLE_REGISTRY
V000105,MH12AB0585,Scooter,TVS,Jupiter,Red,2015-06-17,P002532,P002532,Active,Active,SYNTH_FIELD_DB
V000106,MH12AB0622,Motorcycle,Hero,Splendor Plus,Silver,2016-12-06,P003309,P003309,Active,Active,SYNTH_FIELD_DB
V000107,MH12AB0759,Car,Maruti Suzuki,Swift,Silver,2020-01-23,P000761,P000761,Active,Not Available,SYNTH_VEHICLE_REGISTRY
V000108,MH12AB0896,Scooter,Suzuki,Access,Brown,2023-07-11,P001467,P000990,Transferred,Active,SYNTH_INSURANCE_DB
V000109,MH12AB0933,Motorcycle,Bajaj,Pulsar,Red,2016-10-16,P000412,P000412,Active,Active,SYNTH_FIELD_DB
V000110,MH12AB1070,Scooter,Suzuki,Access,Red,2013-12-19,P003502,P003502,Active,Active,SYNTH_RTO_DB
V000111,MH12AB1107,Car,Hyundai,Creta,Brown,2010-11-07,P003742,P003742,Active,Active,SYNTH_FIELD_DB
V000112,MH12AB1244,Car,Maruti Suzuki,Baleno,Silver,2021-11-21,P000385,P000385,Active,Active,SYNTH_INSURANCE_DB
V000113,MH12AB1381,Car,Tata,Nexon,Brown,2012-10-18,P004433,P004433,Active,Active,SYNTH_RTO_DB
V000114,MH12AB1418,Car,Hyundai,i20,Red,2022-02-27,P001919,P001919,Active,Not Available,SYNTH_VEHICLE_REGISTRY
V000115,MH12AB1555,Car,Hyundai,i20,Blue,2011-07-09,P003417,P002820,Transferred,Active,SYNTH_FIELD_DB
V000116,MH12AB1692,Car,Hyundai,i20,Red,2016-04-17,P000107,P000107,Active,Active,SYNTH_RTO_DB
V000117,MH12AB1729,Car,Hyundai,Creta,Grey,2014-02-21,P001227,P001227,Active,Active,SYNTH_VEHICLE_REGISTRY
V000118,MH12AB1866,Scooter,Suzuki,Access,Red,2017-03-07,P002734,P002734,Active,Active,SYNTH_VEHICLE_REGISTRY
