record_id,person_id,entity_id
R000001,P006582,E006582
R000002,P000514,E000514
R000003,P003286,E003286
R000004,P002745,E002745
R000005,P001905,E001905
R000006,P006171,E006171
R000007,P006127,E006127
R000008,P006926,E006926
R000009,P000241,E000241
R000010,P005264,E005264
R000011,P002900,E002900
R000012,P000900,E000900
R000013,P002007,E002007
R000014,P000029,E000029
R000015,P004500,E004500
R000016,P003513,E003513
R000017,P004547,E004547
R000018,P002651,E002651
R000019,P003424,E003424
R000020,P005534,E005534
R000021,P001510,E001510
R000022,P000219,E000219
R000023,P004948,E004948
R000024,P004916,E004916
R000025,P001657,E001657
R000026,P006833,E006833
R000027,P004239,E004239
R000028,P001585,E001585
R000029,P001118,E001118
R000030,P002347,E002347
R000031,P003247,E003247
R000032,P004722,E004722
R000033,P001595,E001595
R000034,P001496,E001496
R000035,P001720,E001720
R000036,P003166,E003166
R000037,P005039,E005039
R000038,P002545,E002545
R000039,P006870,E006870
R000040,P006852,E006852
R000041,P001940,E001940
R000042,P001486,E001486
R000043,P003531,E003531
R000044,P003413,E003413
R000045,P004631,E004631
R000046,P002430,E002430
R000047,P006739,E006739
R000048,P004740,E004740
R000049,P001627,E001627
R000050,P004057,E004057
R000051,P003300,E003300
R000052,P000224,E000224
R000053,P003005,E003005
R000054,P004332,E004332
R000055,P004351,E004351
R000056,P000939,E000939
R000057,P002136,E002136
R000058,P002419,E002419
R000059,P001415,E001415
R000060,P000872,E000872
R000061,P007000,E007000
R000062,P001400,E001400
R000063,P004641,E004641
R000064,P003559,E003559
R000065,P000283,E000283
R000066,P000930,E000930
R000067,P003839,E003839
R000068,P006023,E006023
R000069,P001453,E001453
R000070,P001337,E001337
R000071,P002568,E002568
R000072,P001815,E001815
R000073,P003774,E003774
R000074,P000384,E000384
R000075,P004789,E004789
R000076,P005471,E005471
R000077,P006608,E006608
R000078,P001828,E001828
R000079,P002417,E002417
R000080,P005225,E005225
R000081,P003775,E003775
R000082,P000752,E000752
R000083,P003524,E003524
R000084,P005848,E005848
R000085,P000415,E000415
R000086,P005072,E005072
R000087,P005206,E005206
R000088,P006537,E006537
R000089,P004992,E004992
R000090,P000915,E000915
R000091,P002405,E002405
R000092,P004683,E004683
R000093,P002404,E002404
R000094,P000113,E000113
R000095,P000646,E000646
R000096,P003012,E003012
R000097,P001081,E001081
R000098,P004967,E004967
R000099,P000103,E000103
R000100,P001205,E001205
R000101,P002061,E002061
R000102,P004463,E004463
R000103,P002085,E002085
R000104,P003773,E003773
R000105,P001577,E001577
R000106,P003541,E003541
R000107,P002311,E002311
R000108,P004800,E004800
R000109,P004685,E004685
R000110,P004966,E004966
R000111,P004931,E004931
R000112,P000586,E000586
R000113,P005950,E005950
R000114,P006955,E006955
R000115,P004963,E004963
R000116,P000594,E000594
R000117,P003286,E003286
R000118,P002666,E002666
R000119,P005921,E005921
R000120,P006764,E006764
R000121,P000899,E000899
R000122,P006156,E006156
R000123,P003936,E003936
R000124,P006542,E006542
R000125,P001824,E001824
R000126,P006358,E006358
R000127,P006771,E006771
R000128,P000986,E000986
R000129,P000979,E000979
R000130,P006496,E006496
R000131,P006894,E006894
R000132,P002766,E002766
R000133,P006627,E006627
R000134,P006648,E006648
R000135,P000151,E000151
R000136,P003103,E003103
R000137,P002580,E002580
R000138,P003829,E003829
R000139,P001422,E001422
R000140,P005702,E005702
R000141,P006474,E006474
R000142,P000448,E000448
R000143,P002555,E002555
R000144,P003506,E003506
R000145,P002198,E002198
R000146,P002898,E002898
R000147,P003050,E003050
R000148,P001387,E001387
R000149,P000524,E000524
R000150,P002203,E002203
R000151,P006586,E006586
R000152,P005851,E005851
R000153,P002382,E002382
R000154,P004807,E004807
R000155,P002658,E002658
R000156,P000494,E000494
R000157,P005500,E005500
R000158,P004114,E004114
R000159,P006675,E006675
R000160,P000521,E000521
R000161,P001844,E001844
R000162,P005855,E005855
R000163,P006112,E006112
R000164,P001080,E001080
R000165,P000966,E000966
R000166,P003589,E003589
R000167,P001901,E001901
R000168,P004783,E004783
R000169,P003753,E003753
R000170,P006308,E006308
